seed,policy,interval,arrival_rate,arrivals,queue,utilization,offered_load_ratio,replicas_target,replicas_active,p95_ms,p99_ms,cvar95_ms,smoothed_cvar_ms,pressure,predicted_next_p99_ms,burst
508,keda_style,240,411.0152746091462,123360.0,0.0,0.4112,0.8224,4,5,230.22533660666014,304.78404521226975,277.07215920817373,260.238275157463,0.13452549837721717,354.4031019536852,0
508,keda_style,241,393.1248779162631,117399.0,0.0,0.4891625,0.978325,4,4,229.6229963790451,304.78404521226975,276.8726969354123,265.22860169084777,3.264312749620293,464.155382505596,0
508,keda_style,242,237.95863199833244,70969.0,0.0,0.29570416666666666,0.5914083333333333,4,4,229.6229963790451,304.78404521226975,277.342452102741,268.8627568144157,0.03289898919801534,323.9968400294957,0
508,keda_style,243,265.9623964254051,79979.0,0.0,0.33324583333333335,0.6664916666666667,3,4,227.68829161184095,304.00619549354843,274.574600779682,270.57631000399556,0.05403266037073825,332.6259568969396,0
508,keda_style,244,413.237414689572,123553.0,33553.0,0.6864055555555556,1.3728111111111112,4,3,171.0938821163718,224.54667871031316,209.5920869552432,252.28104308936983,16.636441612223532,18978.948689274777,0
508,keda_style,245,215.42472963790712,64024.0,0.0,0.4065708333333333,0.8131416666666667,4,4,174.839624022762,234.4098069448875,216.69339847662764,241.6047497055472,0.02038640984047071,247.40494043324614,0
508,keda_style,246,534.2312147834443,160788.0,40788.0,0.66995,1.3399,5,4,180.4970306500086,263.14965405065925,230.08517079679783,238.14887603292237,13.239098977258509,22908.691355234183,0
508,keda_style,247,317.3444959282739,95350.0,0.0,0.4537933333333333,0.9075866666666667,5,5,195.26475994868554,267.9331585121365,242.07468325563238,239.32661819973538,0.030200973859622664,285.88863929796565,0
508,keda_style,248,185.63098903589275,55440.0,0.0,0.1848,0.3696,5,5,195.66868883402793,274.4084370851128,246.07727963056695,241.35181662898484,0.0028475375683689676,276.5131853776657,0
508,keda_style,249,412.38189601409476,123494.0,0.0,0.41164666666666666,0.8232933333333333,4,5,195.84310929367192,274.4084370851128,246.32577890536388,242.84400531189854,0.1634177823183656,329.555126109824,0
508,keda_style,250,205.07535073880956,61589.0,0.0,0.25662083333333335,0.5132416666666667,3,4,195.8885876610313,271.64379163708287,245.90203284370534,243.76141357144058,0.01759132274992635,285.86378817749335,0
